"","fullname","playerID","yearID","teamID","lgID","salary","percent_positive_ab","percent_NAB","PA","salary_per_NAB","salary_per_Good_AB","diff_salary_good_vs_bad","fit.cluster","team_payroll","total_salary_NAB","total_salary_GAB","W","diff_payroll"
"92","Luis   Alicea","alicelu01",1997,"ANA","AL",650000,0.382978723404255,0.146808510638298,470,95425.5319148936,248936.170212766,153510.638297872,1,15479972,2596047.12257662,5584957.27868716,84,2988910.15611054
"93","Luis   Alicea","alicelu01",2000,"TEX","AL",750000,0.377450980392157,0.143790849673203,612,107843.137254902,283088.235294118,175245.098039216,1,34510921,5664281.13462202,13311238.0122731,71,7646956.87765111
"94","Luis   Alicea","alicelu01",2001,"KCA","AL",800000,0.32289156626506,0.149397590361446,415,119518.072289157,258313.253012048,138795.180722892,1,17810000,2623784.11127617,6298063.41155302,65,3674279.30027684
"95","Luis   Alicea","alicelu01",1994,"SLN","NL",650000,0.395918367346939,0.159183673469388,245,103469.387755102,257346.93877551,153877.551020408,1,21595601,2988539.52328361,8022362.45472831,53,5033822.9314447
"96","Andy   Allanson","allanan01",1986,"CLE","AL",60000,0.272435897435897,0.137820512820513,312,8269.23076923077,16346.1538461538,8076.92307692307,1,5097500,815005.812158548,1810711.22044924,84,995705.408290696
"97","Andy   Allanson","allanan01",1988,"CLE","AL",102500,0.316239316239316,0.147435897435897,468,15112.1794871795,32414.5299145299,17302.3504273504,1,6089500,944764.455849787,2057297.93035884,78,1112533.47450906
"98","Andy   Allanson","allanan01",1991,"DET","AL",100000,0.265822784810127,0.215189873417722,158,21518.9873417722,26582.2784810127,5063.2911392405,1,14133333,2607269.98192111,5008522.33304371,84,2401252.35112261
"99","Andy   Allanson","allanan01",1987,"CLE","AL",75000,0.327380952380952,0.19047619047619,168,14285.7142857143,24553.5714285714,10267.8571428571,1,5367500,818524.88411832,1886251.88373553,61,1067726.99961721
"100","Andy   Allanson","allanan01",1989,"CLE","AL",235000,0.301408450704225,0.152112676056338,355,35746.4788732394,70830.985915493,35084.5070422535,1,5173000,874988.845493523,1668805.45232123,73,793816.606827705
"101","Chad   Allen","allench01",2001,"MIN","AL",240000,0.341836734693878,0.224489795918367,196,53877.5510204082,82040.8163265306,28163.2653061224,1,7660000,1276110.59269097,2850468.72061623,85,1574358.12792526
"102","Chad   Allen","allench01",1999,"MIN","AL",200000,0.334608030592734,0.189292543021033,523,37858.5086042065,66921.6061185469,29063.0975143404,1,9285000,1716863.30958741,3323906.47695897,63,1607043.16737155
